n,x,y
36074,376.0,221.0
36107,376.0,221.5
36138,376.0,220.5
36169,376.0,221.0
36200,373.0,220.0
36234,373.0,220.0
36267,372.0,219.5
36300,371.5,220.0
36340,370.5,220.0
36376,370.0,220.5
36407,369.5,220.0
36450,367.0,220.0
36483,366.5,220.0
36513,366.5,220.0
36545,365.5,220.0
36577,365.5,220.5
36607,365.0,221.0
36642,366.0,224.0
36683,366.0,225.0
36713,367.0,224.5
36747,365.5,223.0
36779,366.0,223.0
36808,365.5,223.5
36845,365.5,223.5
36889,365.0,223.5
36917,365.0,223.5
36950,365.0,223.5
36983,365.5,223.5
37016,364.0,223.5
37047,363.0,224.0
37077,362.0,224.0
37109,361.0,224.0
37139,360.5,224.5
37171,359.0,225.0
37204,358.0,225.0
37232,356.5,225.0
37265,355.0,226.5
37296,353.5,227.5
37326,354.5,226.0
37360,354.0,228.0
37390,353.0,228.5
37422,353.0,228.0
37453,354.0,228.0
37483,354.5,228.5
37513,355.5,228.5
37544,355.5,228.5
37577,356.0,229.0
37607,356.0,229.0
37637,356.0,229.0
37683,356.0,230.0
37716,356.5,230.5
37748,356.5,231.0
37777,356.0,230.5
37808,355.5,230.5
37839,356.0,231.0
37885,356.5,231.0
37918,356.0,230.5
37948,355.0,230.5
37979,355.5,231.0
38008,356.0,231.0
38038,355.5,231.0
38074,355.5,230.5
38120,355.0,231.5
38150,354.5,231.0
38179,354.5,231.0
38209,354.5,231.0
38241,354.5,231.0
38271,355.0,231.5
38302,355.5,231.0
38350,356.0,231.0
38381,356.0,232.0
38411,356.5,232.0
38443,356.5,231.5
38474,357.0,232.5
38508,358.0,231.5
38554,358.5,232.0
38586,359.5,232.0
38618,359.5,232.0
38647,360.0,231.5
38680,360.5,231.5
38710,361.5,231.5
38742,361.5,231.0
38772,361.5,231.0
38803,361.5,231.0
38833,361.5,230.5
38864,361.0,231.0
38894,361.0,230.5
38954,361.0,231.5
39824,361.5,229.5
39863,359.0,231.0
39892,359.0,231.0
39923,359.0,231.0
39954,358.5,231.0
40001,359.5,231.5
40031,358.5,232.0
40062,359.5,232.0
40094,359.0,232.0
40124,358.5,231.5
40157,358.5,231.0
40188,358.0,230.0
40219,357.5,230.0
40251,356.5,230.0
40281,355.5,230.0
40311,355.5,230.5
40344,356.5,236.5
40373,354.5,238.0
40406,356.0,237.5
40435,357.0,236.5
40466,356.5,236.0
40498,357.0,235.5
40529,356.5,235.0
40560,356.5,235.0
40591,356.5,235.0
40623,356.0,235.0
40652,355.5,235.0
40683,356.0,235.5
40715,356.0,236.0
40747,356.0,236.0
40778,357.0,236.0
40810,357.0,237.0
40840,357.5,236.5
40872,357.5,237.0
40900,357.0,237.0
40933,357.5,237.0
40964,358.0,237.0
40996,357.0,237.0
41028,356.0,236.5
41073,355.5,236.5
41105,355.0,236.5
41136,354.5,236.5
41171,354.0,236.5
41200,354.0,236.0
41230,354.5,236.0
41279,354.0,236.0
41309,354.0,236.0
41340,354.0,236.0
41371,353.0,235.5
41403,353.0,235.5
41432,353.5,235.5
41466,353.5,236.5
41514,354.0,238.5
41545,353.5,239.0
41575,354.5,239.5
41608,354.5,239.5
41639,354.5,239.0
41668,354.5,239.0
41701,354.5,239.5
41733,354.5,239.0
41763,354.5,238.5
41792,355.0,238.5
41827,355.0,238.0
41857,355.5,237.5
41888,355.5,236.5
41949,355.5,237.0
41980,355.5,236.5
42011,355.5,236.0
42044,355.0,236.0
42073,355.0,236.0
42104,355.0,236.0
42135,354.5,236.0
42166,355.0,236.5
42198,354.5,236.0
42229,355.0,236.5
42259,354.5,236.0
42292,354.5,236.0
42337,354.5,236.0
42368,354.0,236.5
42400,354.0,236.5
42445,354.0,236.0
42478,355.0,236.5
42511,354.0,237.0
42541,354.5,236.5
42572,355.0,237.0
42603,355.0,237.0
42635,354.5,237.0
42666,354.5,237.0
42696,354.5,237.0
42728,354.0,237.0
42775,354.5,237.0
42807,354.0,237.0
42838,354.0,237.0
42867,354.5,237.0
42899,354.5,237.0
42931,354.5,237.0
42965,354.0,237.0
42993,354.5,236.5
43024,354.0,236.5
43069,354.0,236.5
43101,354.0,236.5
43133,353.5,236.5
43164,354.0,237.0
43212,354.0,236.5
43243,354.0,237.0
43274,354.0,237.0
43306,354.0,237.0
43337,354.0,237.0
43367,354.0,236.5
43398,354.0,236.5
43431,354.0,237.0
43462,354.0,237.0
43493,354.0,237.0
43526,353.5,237.0
43557,353.5,237.0
43587,354.0,237.0
43635,354.0,237.0
43666,354.0,237.0
43698,354.0,237.0
43730,354.0,237.0
43759,353.0,237.5
43806,353.5,238.5
43836,353.0,238.5
43870,353.0,238.5
43898,353.5,239.0
43931,353.5,238.0
43962,354.0,237.5
43994,354.0,237.0
44040,354.0,236.5
44071,353.0,237.0
44102,352.5,236.5
44132,352.5,236.5
