n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
580.1667,0.3111,0.5839,5.71,0.1107,-4.7154,0.8542,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0009,-0.027
584.0012,0.3165,0.5536,5.5849,-0.5266,-4.8127,0.9435,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0009,-0.0269
588.1121,0.3069,0.5454,5.475,-0.3057,-4.8999,1.1647,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0008,-0.0269
592.0868,0.3528,0.5419,5.9509,-0.1265,-4.812,0.9824,0.0,0.0,0.4433,-0.0325,0.0027,-0.0265,0.0321,0.0008,-0.0268
596.1987,0.3551,0.5258,5.5719,-0.0366,-4.7446,1.0388,0.0,0.0,0.4433,-0.0325,0.0027,-0.0265,0.0321,0.0009,-0.0269
600.1279,0.3974,0.5189,5.9337,-0.1601,-4.795,0.9396,0.0,0.0,0.4433,-0.0325,0.0027,-0.0265,0.0321,0.0009,-0.0269
604.0858,0.4184,0.5093,5.6158,-0.0537,-4.6722,0.9123,0.0,0.0,0.4433,-0.0325,0.0027,-0.0265,0.0321,0.0009,-0.0269
608.0048,0.4292,0.5091,5.4642,-0.2477,-4.713,1.1092,0.0,0.0,0.4433,-0.0325,0.0027,-0.0265,0.0321,0.0008,-0.0268
612.1703,0.4405,0.5093,5.6074,-0.2092,-4.8297,1.1278,0.0,0.0,0.4433,-0.0325,0.0027,-0.0265,0.0321,0.0008,-0.0268
615.975,0.4495,0.489,5.8536,-0.1879,-4.7572,0.9838,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0008,-0.0268
620.1352,0.4603,0.5067,5.8834,-0.0443,-4.8941,1.1836,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0008,-0.0269
624.0953,0.4649,0.5149,5.71,0.2734,-4.6277,0.8181,0.0,0.0,0.4433,-0.0325,0.0026,-0.0266,0.0321,0.0009,-0.0268
628.1051,0.4783,0.5175,5.8117,-0.2837,-4.76,0.8713,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0009,-0.0269
632.1087,0.4837,0.5153,5.6643,-0.1434,-4.8746,0.9575,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0009,-0.0268
636.1394,0.4786,0.5114,6.0719,-0.1087,-5.1142,0.8954,0.0,0.0,0.4433,-0.0326,0.0027,-0.0266,0.0321,0.0009,-0.0268
640.1328,0.4767,0.5254,5.6709,0.2939,-4.8188,0.9469,0.0,0.0,0.4433,-0.0325,0.0026,-0.0265,0.0321,0.0009,-0.0268
644.2151,0.461,0.5224,5.5343,-0.0828,-4.7399,0.8461,0.0,0.0,0.4433,-0.0325,0.0026,-0.0267,0.0321,0.0008,-0.0268
648.1347,0.462,0.5415,5.6405,-0.1837,-4.7004,1.4243,0.0,0.0,0.4433,-0.0325,0.0027,-0.0267,0.0321,0.0008,-0.0268
652.1919,0.4562,0.5405,5.4466,-0.3526,-4.7406,1.2201,0.0,0.0,0.4433,-0.0325,0.0027,-0.0267,0.0321,0.0008,-0.0268
656.0838,0.4633,0.5256,5.7138,-0.2523,-4.795,0.8808,0.0,0.0,0.4433,-0.0325,0.0027,-0.0267,0.0321,0.0008,-0.0268
660.1876,0.433,0.5369,5.1331,-0.1349,-4.5638,1.1654,0.0,0.0,0.4433,-0.0325,0.0027,-0.0267,0.0321,0.0008,-0.0268
664.1491,0.4321,0.5387,5.483,0.2247,-4.6256,0.895,0.0,0.0,0.4433,-0.0325,0.0027,-0.0267,0.0321,0.0008,-0.0268
668.1163,0.4177,0.5434,5.4839,-0.0964,-4.7201,1.2405,0.0,0.0,0.4433,-0.0325,0.0027,-0.0268,0.0321,0.0008,-0.0268
